Course,Description,Section,Date Times,Instructors
ACCTG 418 - Advanced Financial Accounting,"The course analyzes the concepts and practices underlying financial reporting in more complex areas such as business combinations, multinational operations, future income taxes and not for profit organizations. Prerequisite: ACCTG 415. Open only to fourth-year Business students or by consent of the Department Chair.",LECTURE B02 (42420),2023-01-05 - 2023-04-12 TH 11:00 - 12:20 (HC 1-11),Shamin Mashruwala
ACCTG 424 - Intermediate Management Accounting,"Emphasizes mastery of techniques for implementation and evaluation of cost systems for management and decision making. Cost issues include: accumulating and analyzing costs using actual, standard and activity-based approaches, overhead allocation and cost estimation. Management topics include: pricing, production and investment decisions, revenue analysis, performance evaluation, management incentive systems and strategy analysis. Linear programming and multiple regression may be used. Prerequisites: ACCTG 322 and MGTSC 312. There is a consolidated exam for ACCTG 424.",LECTURE B01 (42421),2023-01-05 - 2023-04-12 MW 09:30 - 10:50 (BUS 1-05),Florin Sabac
ACCTG 424 - Intermediate Management Accounting,"Emphasizes mastery of techniques for implementation and evaluation of cost systems for management and decision making. Cost issues include: accumulating and analyzing costs using actual, standard and activity-based approaches, overhead allocation and cost estimation. Management topics include: pricing, production and investment decisions, revenue analysis, performance evaluation, management incentive systems and strategy analysis. Linear programming and multiple regression may be used. Prerequisites: ACCTG 322 and MGTSC 312. There is a consolidated exam for ACCTG 424.",LECTURE B02 (42422),2023-01-05 - 2023-04-12 MW 11:00 - 12:20 (BUS 1-05),Florin Sabac
ACCTG 426 - Management Control Systems,"Current research and cases in accounting and control with a particular focus on strategy, governance and control processes in modern organizations. Topics include: control system design (including governance and audit), responsibility accounting, performance management, and strategic management accounting. Prerequisite: ACCTG 424. Open only to fourth year Business students, or by consent of Department Chair.",LECTURE B01 (42463),2023-01-05 - 2023-04-12 MW 14:00 - 15:20 (T B-81),Sanjay Banerjee
ACCTG 426 - Management Control Systems,"Current research and cases in accounting and control with a particular focus on strategy, governance and control processes in modern organizations. Topics include: control system design (including governance and audit), responsibility accounting, performance management, and strategic management accounting. Prerequisite: ACCTG 424. Open only to fourth year Business students, or by consent of Department Chair.",LECTURE B02 (41071),2023-01-05 - 2023-04-12 MW 10:00 - 11:20 (BUS B-05),Trish Stringer
ACCTG 426 - Management Control Systems,"Current research and cases in accounting and control with a particular focus on strategy, governance and control processes in modern organizations. Topics include: control system design (including governance and audit), responsibility accounting, performance management, and strategic management accounting. Prerequisite: ACCTG 424. Open only to fourth year Business students, or by consent of Department Chair.",LECTURE B03 (49738),2023-01-05 - 2023-04-12 MW 15:30 - 16:50 (T B-81),Sanjay Banerjee
ACCTG 456 - Assurance on Financial Information,"Focuses on the external auditor's provision of assurance services on financial information. Topics include: society's demand for various assurance services; the role, profession, ethics, independence and liability of the assurance provider; assurance risk and strategy; assurance planning, operations and reports; computerization and internal control; and emerging assurance services. Prerequisite: ACCTG 414 or 412.",LECTURE B01 (42508),2023-01-05 - 2023-04-12 TH 14:00 - 15:20 (BUS 4-13),Erin Marshall
ACCTG 456 - Assurance on Financial Information,"Focuses on the external auditor's provision of assurance services on financial information. Topics include: society's demand for various assurance services; the role, profession, ethics, independence and liability of the assurance provider; assurance risk and strategy; assurance planning, operations and reports; computerization and internal control; and emerging assurance services. Prerequisite: ACCTG 414 or 412.",LECTURE B02 (42535),2023-01-05 - 2023-04-12 TH 15:30 - 16:50 (BUS 4-13),Erin Marshall
"ACCTG 463 - Accounting for Natural Resources, Energy, and the Environment","This course covers accounting rules and practice in the area of natural resources, energy and the environment. Some topics include mineral rights and exploration costs, emissions trading, environmental reporting and liabilities. While it does contain technical material, it is meant for both accounting and non-accounting students. Both International and U.S. generally accepted accounting principles (GAAP) will be explored. The focus will be on understanding how firms in this area report their natural resource assets and related liabilities. Prerequisite: ACCTG 311. ACCTG 412 or 414 are recommended.",LECTURE B01 (41070),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (BUS 1-09),Trish Stringer
ACCTG 467 - Basic Income Tax,"Examines the concepts, regulations and interpretations underlying individual and corporate income tax from the tax professional's perspective. Topics include: structure of the Income Tax Act, residency requirements, employment income, business and property income, capital gains, and the calculation of tax payable for individuals. Tax planning is introduced and opportunities for tax planning are identified where appropriate as topics are covered. Prerequisite: ACCTG 414 or 412.",LECTURE B01 (42423),2023-01-05 - 2023-04-12 MW 12:30 - 13:50 (BUS 2-05),Jeffrey Herzog
ACCTG 467 - Basic Income Tax,"Examines the concepts, regulations and interpretations underlying individual and corporate income tax from the tax professional's perspective. Topics include: structure of the Income Tax Act, residency requirements, employment income, business and property income, capital gains, and the calculation of tax payable for individuals. Tax planning is introduced and opportunities for tax planning are identified where appropriate as topics are covered. Prerequisite: ACCTG 414 or 412.",LECTURE B02 (42424),2023-01-05 - 2023-04-12 MW 14:00 - 15:20 (BUS 2-05),Jeffrey Herzog
ACCTG 468 - Corporate Taxation,"A study of the major tax concepts behind the specific provisions of the Income Tax Act in the taxation of corporations, corporate distributions and transactions between corporations and their shareholders. Emphasis on applying the Act in practical problems and case settings. Prerequisite: ACCTG 467.",LECTURE B01 (42425),2023-01-05 - 2023-04-12 MW 09:30 - 10:50 (BUS B-09),Jeffrey Herzog
ACCTG 468 - Corporate Taxation,"A study of the major tax concepts behind the specific provisions of the Income Tax Act in the taxation of corporations, corporate distributions and transactions between corporations and their shareholders. Emphasis on applying the Act in practical problems and case settings. Prerequisite: ACCTG 467.",LECTURE B02 (42539),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (BUS 3-10),Jeffrey Herzog
ACCTG 481 - Accounting Honors Seminar Part II,"This course covers 3 topic areas: (1) History of accounting thought including coverage of current standard setting activities, (2) Professionalism in accounting including exposure to current practical issues requiring professional judgment, and (3) Exposure to current accounting research and design of research studies. Prerequisite: ACCTG 415.",LECTURE B02 (48807),2023-01-05 - 2023-04-12 H 09:30 - 12:20 (HC 2-30),Erin Marshall
ACCTG 495 - Individual Research Project I,"Special Study for advanced undergraduates. May be considered as a Group A or Group B elective at the discretion of the Department. Prerequisites: consent of Instructor and Assistant Dean, Undergraduate Program.",LECTURE B01 (42426),No scheduled class times,
ACCTG 496 - Individual Research Project II,"Special Study for advanced undergraduates. Prerequisites: ACCTG 495, consent of the Instructor and Assistant Dean, Undergraduate Program.",LECTURE B01 (42427),No scheduled class times,
ACCTG 497 - Individual Research Project III,"Special Study for advanced undergraduates. Prerequisites: ACCTG 496, consent of the Instructor and Assistant Dean, Undergraduate Program.",LECTURE B01 (42476),No scheduled class times,
ACCTG 501 - Introduction to Financial Reporting and Analysis,"Accounting information's role in recording and reporting on economic and business events including the primary financial statements: balance sheet, income statement, and cash flow. Concepts and purposes underlying financial reporting. Selection of accounting policies and their informational effects for external users. The course begins to develop students' abilities to evaluate and interpret financial information through basic financial analysis.",LECTURE X50 (42560),2023-01-05 - 2023-04-12 T 18:00 - 21:00 (BUS 5-13),Jeffrey Herzog
ACCTG 523 - Accounting Information and Internal Decision Making,"Accounting concepts used by managers in planning and decision-making. The course introduces concepts of cost and profit behavior, contribution margin, and activity-based costing, as well as relevant costs and revenues for production, marketing and capital budgeting decisions. The course also introduces students to the management planning and control system and its components - budgets, variance analysis, performance evaluation in centralized and decentralized organizations, and management compensation plans. The importance of designing a system to fit the organizations' strategy is emphasized. Prerequisite: ACCTG 501.",LECTURE 800 (49918) ONLINE,No scheduled class times,Ipshita Garnaik
ACCTG 523 - Accounting Information and Internal Decision Making,"Accounting concepts used by managers in planning and decision-making. The course introduces concepts of cost and profit behavior, contribution margin, and activity-based costing, as well as relevant costs and revenues for production, marketing and capital budgeting decisions. The course also introduces students to the management planning and control system and its components - budgets, variance analysis, performance evaluation in centralized and decentralized organizations, and management compensation plans. The importance of designing a system to fit the organizations' strategy is emphasized. Prerequisite: ACCTG 501.",LECTURE B01 (42562),2023-01-05 - 2023-04-12 W 09:00 - 11:50 (BUS 5-40A) 2023-01-05 - 2023-04-12 W 09:00 - 11:50 (BUS 5-40B),Sanjay Banerjee
ACCTG 523 - Accounting Information and Internal Decision Making,"Accounting concepts used by managers in planning and decision-making. The course introduces concepts of cost and profit behavior, contribution margin, and activity-based costing, as well as relevant costs and revenues for production, marketing and capital budgeting decisions. The course also introduces students to the management planning and control system and its components - budgets, variance analysis, performance evaluation in centralized and decentralized organizations, and management compensation plans. The importance of designing a system to fit the organizations' strategy is emphasized. Prerequisite: ACCTG 501.",LECTURE X50 (42512),2023-01-05 - 2023-04-12 M 18:00 - 21:00 (BUS 3-05),Sanjay Banerjee
"ACCTG 663 - Accounting for Natural Resources, Energy and the Environment","This course covers accounting rules and practice in the area of natural resources, energy and the environment. Some topics include mineral rights and exploration costs, emissions trading, environmental reporting and liabilities. While it does contain technical material, it is meant for both accounting and non-accounting students. Both International and U.S. generally accepted accounting principles (GAAP) will be explored. The focus will be on understanding how firms in this area report their natural resource assets and related liabilities. Prerequisite: ACCTG 501.",LECTURE B01 (50153),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (BUS 1-09),Trish Stringer
ACCTG 703B - Accounting Research Workshop,"Based on the Department's research workshop program, this course will discuss research methodology as it applies to accounting and ensure students learn how to review/evaluate current research and literature. Students are expected to present their own research and to analyze the research of others. This workshop is a single term course offered over two terms. Students are expected to attend regularly throughout their doctoral program, but register for credit in their second year (prior to taking accounting comprehensive examination).",LECTURE C1 (47081),2023-01-05 - 2023-04-12 F 13:00 - 15:50 (BUS 3-06),Karim Jamal
ACCTG 706 - Introduction to Behavioral and Experimental Accounting Research,"A generalist course on research that is primarily oriented to individual behavior in accounting settings. Topics covered will include individual cognitive processes and limitations, the experimental method, and a broad survey of experimental and field studies (drawing on psychology and economics) conducted in accounting settings. Open to all doctoral students or with the written permission of the instructor. Approval of the Associate Dean, PhD Program is also required for non-PhD students.",LECTURE B02 (49920),2023-01-05 - 2023-04-12 M 09:00 - 11:50 (HC 2-17),Karim Jamal
ACCTG 707 - Introduction to Analytical Accounting Research,"An introductory course to familiarize students with analytical accounting research. Topics will vary depending on the instructor's area of expertise. Open to all doctoral students or with the written permission of the instructor. Approval of the Associate Dean, PhD Program is also required for non-PhD students.",LECTURE B01 (49693),2023-01-05 - 2023-04-12 T 09:30 - 12:30 (HC 3-86),Florin Sabac
ACCTG 800 - Financial Accounting,Reporting of financial results of operations and financial positions to investors and managers; the use of accounting information for decision making. Restricted to students registered in the MBA China Program.,LECTURE 850 (50121),No scheduled class times,
ACCTG 812 - Financial Reporting for Managers and Analysts,Useful both as a stand-alone course and as a foundation for further study in financial statement analysis. Provides further depth in balance sheet valuation and income measurement in order to enhance students' ability to use financial accounting as a management tool. Restricted to students registered in the MFM Program.,LECTURE 850 (50126),No scheduled class times,
ACCTG 818 - FINANCIAL STATEMENT ANALYSIS,"Develops students' competence in analyzing financial statements and using financial information to make investment decisions, both equity and debt. The primary thrust of the course is aimed at equity investments. Students learn a five step process of analysis for equity investments: (1) An examination of the firm's industry, markets and strategy, (2) An evaluation of the firm's accounting policies and their impact on the financial reports, (3) Applying fundamental analysis to assess financial strengths and weaknesses, (4) Forecasting future earnings and cash flows, and (5) Applying valuation models to assess the current price. A comparable process for lending decisions is then developed. Restricted to students registered in the MFM Program.",LECTURE 850 (50149),No scheduled class times,
ACCTG 830 - Organization Planning and Control,"Implementing financial performance measurement, evaluation and control systems, and organizational designs that enhance performance; understanding organizational structures and processes. Restricted to Executive MBA students only.",LECTURE B01 (42568),No scheduled class times,
ADMI 302 - Introduction à la finance,"Différents types de titres boursiers et méthodes d'évaluation de base. Évaluation et sélection d'actifs matériels et intellectuels. Fonctionnement et efficience des marchés financiers. Mesures de risque et méthode de réduction du risque. Politique de financement, incluant le choix entre l'endettement et les fonds propres. Note: On s'attend à ce que les étudiants soient familiers avec les logiciels informatiques de base. Préalable(s): STAT 151 ou équivalent. Autres cours préalable(s) ou concomitant(s): MGTSC 312, ACCTG 300 ou ACCTG 311.",LECTURE B1 (41905),2023-01-05 - 2023-04-12 MW 10:30 - 11:50 (CSJ MCM 3-58),Sadok Ghoul
ADMI 302 - Introduction à la finance,"Différents types de titres boursiers et méthodes d'évaluation de base. Évaluation et sélection d'actifs matériels et intellectuels. Fonctionnement et efficience des marchés financiers. Mesures de risque et méthode de réduction du risque. Politique de financement, incluant le choix entre l'endettement et les fonds propres. Note: On s'attend à ce que les étudiants soient familiers avec les logiciels informatiques de base. Préalable(s): STAT 151 ou équivalent. Autres cours préalable(s) ou concomitant(s): MGTSC 312, ACCTG 300 ou ACCTG 311.",SEMINAR J1 (41906),2023-01-05 - 2023-04-12 M 12:00 - 12:50 (CSJ MCM 3-58),Sadok Ghoul
ADMI 479 - L'entreprise et le gouvernement au Canada,"Analyse de l'interaction entre l'entreprise et l'administration publique. On s'intéresse en particulier à la dynamique d'ajustement de la firme et du gouvernement dans les changements d'environnement et de politiques. Les motivations et comportements des décideurs publics et des personnes responsables de l'application des mesures sont présentés dans le contexte d'interaction entre les différents groupes impliqués. Sont posées les bases d'une analyse de l'efficacité des différentes politiques, tant fiscales que réglementaires, visant la firme. On y aborde aussi les conséquences des changements de l'environnement économique, technologique et social pour la firme. Préalable(s): ECONE 281 ou BUEC 311. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour BUEC 479.",LECTURE X50 (48924),2023-01-05 - 2023-04-12 MW 17:30 - 18:55 (CSJ MCM 1-70),Sadok Ghoul
ADRAM 249 - Créativité et jeu dramatique,"La mise en évidence des possibilités créatrices du dialogue et de la nécessité de faire découvrir, par le jeu dramatique, le fond commun et permanent de la langue parlée et de la langue écrite. Pratique de la préparation et de la mise en marche des dramatisations, afin d'explorer la création des diverses formes dramatiques. Note : Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits en FRANC 249.",LECTURE B1 (43904),2023-01-05 - 2023-04-12 TH 16:00 - 17:20 (CSJ MCM 1-52),Bernard Salva
ADRAM 400 - Choix de sujet,"Préalables : *3 de niveau 300 ou 400 parmi FRANC, CAFR, ADRAM ou l'équivalent.",LECTURE X50 (46147),2023-01-05 - 2023-04-12 T 18:00 - 21:00 (CSJ MCM 1-52),Bernard Salva
AFNS 416 - One Health,"'One Health' is an emerging paradigm in public and veterinary health which recognizes that human, animal and environmental health are interlinked. The course will address food and water safety, the increase in prevalence of antibiotic resistant organisms, emerging infectious zoonotic diseases, environmental protection and environmental sustainability, emphasizing the interaction of these diverse yet interconnected disciplines in protecting the health of populations. Prerequisites: *3 MICRB and *3 PHYSL.",LECTURE B1 (42310),2023-01-05 - 2023-04-12 TH 08:00 - 09:20 (ECHA 2-140),Judd Aiken
AFNS 500 - Individual Study,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,SEMINAR B1 (42162),No scheduled class times,Richard Uwiera
AFNS 500 - Individual Study,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,SEMINAR B2 (42163),No scheduled class times,
AFNS 500 - Individual Study,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,SEMINAR B3 (42231),No scheduled class times,
AFNS 500 - Individual Study,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,SEMINAR B4 (42232),No scheduled class times,
AFNS 500 - Individual Study,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,SEMINAR B5 (42233),No scheduled class times,
AFNS 500 - Individual Study,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,SEMINAR B6 (42234),No scheduled class times,
AFNS 502 - Advanced Study of Food Fermentations,"Readings and class presentations on current developments in bacterial or fungal fermentation of foods. Development in Probiotics. Not to be taken if credit received for NU FS 402. Prerequisite: MICRB 265, NU FS 361, or NU FS 363.",LECTURE B1 (42212),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (AF 1-06A),Benjamin Bourrie
AFNS 502 - Advanced Study of Food Fermentations,"Readings and class presentations on current developments in bacterial or fungal fermentation of foods. Development in Probiotics. Not to be taken if credit received for NU FS 402. Prerequisite: MICRB 265, NU FS 361, or NU FS 363.",SEMINAR J1 (42213),2023-01-05 - 2023-04-12 M 13:00 - 13:50 (AF 1-06A),Benjamin Bourrie
AFNS 506 - Rangeland Plant Communities of Western Canada,"Examines major rangeland plant communities and their physical environments in western Canada, including individual plant identification and ecology. Includes a review of various land uses such as livestock and wildlife grazing within these communities, their response to disturbances such as herbivory and fire, and other management considerations. Not to be taken if credit received for ENCS 406. Prerequisite: ENCS 356 or consent of instructor.",LECTURE B1 (42197),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (AF 1-06A),Edward Bork
AFNS 506 - Rangeland Plant Communities of Western Canada,"Examines major rangeland plant communities and their physical environments in western Canada, including individual plant identification and ecology. Includes a review of various land uses such as livestock and wildlife grazing within these communities, their response to disturbances such as herbivory and fire, and other management considerations. Not to be taken if credit received for ENCS 406. Prerequisite: ENCS 356 or consent of instructor.",LAB H1 (42198),2023-01-05 - 2023-04-12 M 14:00 - 16:50 (AF 1-06A),Edward Bork
AFNS 510 - Renewable Biomaterials,"Fundamentals in bio-based materials development, characterization, and applications. Sources and classification of biomaterials, synthesis of renewable polymeric biomaterials, their characterization using different techniques, and industrial applications will be discussed. Prerequisite: consent of instructor.",LECTURE B1 (40919),2023-01-05 - 2023-04-12 WF 10:00 - 11:20 (AF 5-19),Aman Ullah
AFNS 510 - Renewable Biomaterials,"Fundamentals in bio-based materials development, characterization, and applications. Sources and classification of biomaterials, synthesis of renewable polymeric biomaterials, their characterization using different techniques, and industrial applications will be discussed. Prerequisite: consent of instructor.",LAB H1 (40920),2023-01-05 - 2023-04-12 W 14:00 - 16:50 (AF 1-06A),Aman Ullah
AFNS 511 - Veterinary Immunology,"Application of immunological principles to the understanding of animal health and disease with a focus on livestock and companion animals. Students will apply a broad understanding of host-pathogen interactions and the basic mechanisms of disease progression to assess the short and long-term impact of pathogenesis to the health of animals, their caretakers, and consumers. Lectures will be followed by active discussion of selected readings. Not to be taken if credit received for AN SC 411. Prerequisites: IMIN 200 and consent of instructor.",LECTURE B1 (48918),2023-01-05 - 2023-04-12 TH 09:30 - 10:50 (GSB 2-11),Daniel Barreda
AFNS 512 - Quality Assurance,"Statistical methods in quality assurance, sampling plans, control charts, sensory evaluation and risk management in the food industry, HACCP, good manufacturing practices, food regulations, labeling requirements, auditing and ISO 9000 standards. Prerequisite: consent of instructor. Not to be taken if credit received for NU FS 312.",LECTURE B1 (49648),2023-01-05 - 2023-04-12 MW 08:00 - 08:50 (AF 1-06A) 2023-01-05 - 2023-04-12 F 08:00 - 08:50 (GSB 2-17),"Assistant Instructor:  Michael Gaenzle
                                                        
                                                        
Lingyun Chen"
AFNS 512 - Quality Assurance,"Statistical methods in quality assurance, sampling plans, control charts, sensory evaluation and risk management in the food industry, HACCP, good manufacturing practices, food regulations, labeling requirements, auditing and ISO 9000 standards. Prerequisite: consent of instructor. Not to be taken if credit received for NU FS 312.",LAB H1 (49649),2023-01-05 - 2023-04-12 T 14:00 - 14:50 (ED 2-101),"Assistant Instructor:  Michael Gaenzle
                                                        
                                                        
Lingyun Chen"
AFNS 516 - One Health,"'One Health' is an emerging paradigm in public and veterinary health which recognizes that human, animal and environmental health are interlinked. The course will address food and water safety, the increase in prevalence of antibiotic resistant organisms, emerging infectious zoonotic diseases, environmental protection and environmental sustainability, emphasizing the interaction of these diverse yet interconnected disciplines in protecting the health of populations. Not to be taken if credit received for AFNS 416, SPH 416, or SPH 516. Prerequisite: consent of instructor.",LECTURE B1 (42311),2023-01-05 - 2023-04-12 TH 08:00 - 09:20 (ECHA 2-140),Judd Aiken
AFNS 520 - Ruminant Physiology and Metabolic Diseases,"A discussion-based course on current literature in digestive physiology, endocrinology, and metabolic diseases of ruminant animals. Offered only in odd numbered years. Prerequisite: *3 in each of Nutrition and Physiology.",LECTURE B1 (40407),No scheduled class times,Burim Ametaj
