,Courses
124,"
                                    AFNS 554 - Unit Operations in Food Preservation
                            "
125,"
                                    AFNS 556 - Nutrition Across the Lifespan
                            "
126,"
                                    AFNS 561 - Ruminant Digestion, Metabolism, and Nutrition
                            "
127,"
                                    AFNS 562 - Swine Nutrition
                            "
128,"
                                    AFNS 563 - Poultry Nutrition
                            "
129,"
                                    AFNS 565 - Plant Breeding
                            "
130,"
                                    AFNS 566 - Advanced Food Microbiology
                            "
131,"
                                    AFNS 568 - Clinical Nutrition
                            "
132,"
                                    AFNS 569 - Advanced Animal Metabolism
                            "
133,"
                                    AFNS 570 - Experimental Procedures in Nutrition and Metabolism
                            "
134,"
                                    AFNS 571 - Applied Poultry Science
                            "
135,"
                                    AFNS 572 - Practical Case Studies in Rangeland Management and Conservation
                            "
136,"
                                    AFNS 574 - Applied Beef Cattle Science
                            "
137,"
                                    AFNS 575 - Advanced Functional Genomics Technologies in Agricultural, Food and Nutritional Science
                            "
138,"
                                    AFNS 576 - Applied Swine Science
                            "
139,"
                                    AFNS 577 - Advanced Community Nutrition
                            "
140,"
                                    AFNS 578 - Advanced Clinical Nutrition
                            "
141,"
                                    AFNS 579 - Advanced Nutrition: Vitamins and Inorganic Elements
                            "
142,"
                                    AFNS 580 - Advanced Study of Microbial Food Safety
                            "
143,"
                                    AFNS 581 - Advanced Foods
                            "
144,"
                                    AFNS 582 - Diseases of Field and Horticultural Crops
                            "
145,"
                                    AFNS 583 - Principles of Plant Pathology
                            "
146,"
                                    AFNS 585 - Advanced Quantitative Genomics
                            "
147,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AFNS 585 - Advanced Quantitative Genomics
                            "
148,"
                                    AFNS 595 - Integrated Crop Protection
                            "
149,"
                                    AFNS 598 - Integrative Project in Food Safety and Quality
                            "
150,"
                                    AFNS 599 - Advanced Agri-Chemical Analysis
                            "
151,"
                                    AFNS 601 - Seminar
                            "
152,"
                                    AFNS 602 - Graduate Reading Project
                            "
153,"
                                    AFNS 603 - Graduate Research Project
                            "
154,"
                                    AFNS 660 - Communication in Science
                            "
155,"
                                    AFNS 670 - Current Topics in Nutrition and Metabolism
                            "
156,"
                                    AFNS 675 - Introduction to Research Methods in Nutritional Science
                            "
157,"
                                    AFNS 900 - Directed Research Project (Course-based Masters)
                            "
158,"
                                    AGRMT 903 - Formal Agreement Registration
                            "
159,"
                                    AGRMT 906 - Formal Agreement Registration
                            "
160,"
                                    AGRMT 909 - Formal Agreement Registration
                            "
161,"
                                    ALES 204 - Communication Fundamentals for Professionals
                            "
162,"
                                    ALES 291 - Topics in Agricultural, Life and Environmental Sciences
                            "
163,"
                                    ALES 291A - Topics in Agricultural, Life and Environmental Sciences
                            "
164,"
                                    ALES 291B - Topics in Agricultural, Life and Environmental Sciences
                            "
165,"
                                    ALES 391 - Topics in Agricultural, Life and Environmental Sciences
                            "
166,"
                                    ALES 391A - Topics in Agricultural, Life and Environmental Sciences
                            "
167,"
                                    ALES 391B - Topics in Agricultural, Life and Environmental Sciences
                            "
168,"
                                    ALES 491 - Topics in Agricultural, Life and Environmental Sciences
                            "
169,"
                                    ALES 491A - Topics in Agricultural, Life and Environmental Sciences
                            "
170,"
                                    ALES 491B - Topics in Agricultural, Life and Environmental Sciences
                            "
171,"
                                    ALS 105 - Niveau élémentaire 1
                            "
172,"
                                    ALS 110 - Niveau élémentaire 2
                            "
173,"
                                    ALS 115 - Niveau intermédiaire 1
                            "
174,"
                                    ALS 115A - Niveau intermédiaire 1
                            "
175,"
                                    ALS 115B - Niveau intermédiaire 1
                            "
176,"
                                    ALS 120 - Niveau intermédiaire 2
                            "
177,"
                                    ALS 120A - Niveau intermédiaire 2
                            "
178,"
                                    ALS 120B - Niveau intermédiaire 2
                            "
179,"
                                    ALS 125 - Introduction à l'anglais écrit, niveau universitaire
                            "
180,"
                                    ALS 125A - Introduction à l'anglais écrit, niveau universitaire
                            "
181,"
                                    ALS 125B - Introduction à l'anglais écrit, niveau universitaire
                            "
182,"
                                    ALS 130 - Pratique avancée de l'expression et de la compréhension orales
                            "
183,"
                                    AN SC 100 - Introduction to Animal Health Science
                            "
184,"
                                    AN SC 101 - Principles of Animal Agriculture
                            "
185,"
                                    AN SC 120 - Companion Animals and Society
                            "
186,"
                                    AN SC 260 - Fundamentals of Animal Nutrition
                            "
187,"
                                    AN SC 310 - Physiology of Domestic Animals
                            "
188,"
                                    AN SC 311 - Metabolic Physiology of Domestic Animals
                            "
189,"
                                    AN SC 312 - Reproductive Physiology of Domestic Animals
                            "
190,"
                                    AN SC 318 - Influence of Microorganisms on Animal Biology
                            "
191,"
                                    AN SC 320 - Livestock Growth and Meat Production
                            "
192,"
                                    AN SC 325 - Equine Science
                            "
193,"
                                    AN SC 375 - Animal Health and Disease
                            "
194,"
                                    AN SC 376 - Animal Welfare
                            "
195,"
                                    AN SC 377 - Food Animal Behaviour
                            "
196,"
                                    AN SC 378 - Companion Animal Behaviour
                            "
197,"
                                    AN SC 384 - Principles of Animal Genetics
                            "
198,"
                                    AN SC 400 - Individual Study
                            "
199,"
                                    AN SC 410 - Regulation of Reproduction in Domestic Animals
                            "
200,"
                                    AN SC 411 - Veterinary Immunology
                            "
201,"
                                    AN SC 420 - Meat Science
                            "
202,"
                                    AN SC 461 - Ruminant Digestion, Metabolism, and Nutrition
                            "
203,"
                                    AN SC 462 - Monogastric Nutrition
                            "
204,"
                                    AN SC 464 - Companion Animal Nutrition
                            "
205,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AN SC 464 - Companion Animal Nutrition
                            "
206,"
                                    AN SC 471 - Applied Poultry Science
                            "
207,"
                                    AN SC 472 - Applied Dairy Production Science
                            "
208,"
                                    AN SC 474 - Applied Beef Cattle Science
                            "
209,"
                                    AN SC 476 - Applied Swine Science
                            "
210,"
                                    AN SC 479 - Integrative Project in Animal Science
                            "
211,"
                                    AN SC 485 - Animal Genetics and Breeding
                            "
212,"
                                    AN SC 488 - Animal Nutrition and Health
                            "
213,"
                                    AN SC 496 - Research on the Human Animal Bond
                            "
214,"
                                    AN SC 499 - Integrative Project in Animal Health Science
                            "
215,"
                                    ANAT 200 - Human Morphology
                            "
216,"
                                    ANAT 305 - Cross-Sectional Anatomy
                            "
217,"
                                    ANAT 400 - Human Embryonic Development
                            "
218,"
                                    ANAT 401 - Human Neuroanatomy
                            "
219,"
                                    ANAT 402 - Human Histology
                            "
220,"
                                    ANAT 403 - The Human Body
                            "
221,"
                                    ANAT 490 - Individual Study
                            "
222,"
                                    ANAT 491 - Current Topics in Anatomy
                            "
223,"
                                    ANAT 497A - Research Project
                            "
224,"
                                    ANAT 497B - Research Project
                            "
225,"
                                    ANAT 500 - Human Development
                            "
226,"
                                    ANAT 503 - Human Anatomy
                            "
227,"
                                    ANAT 600A - Medical Gross Anatomy
                            "
228,"
                                    ANAT 600B - Medical Gross Anatomy
                            "
229,"
                                    ANAT 603 - Medical Histology
                            "
230,"
                                    ANAT 606 - Selected Topics in Advanced Human Anatomy
                            "
231,"
                                    ANAT 607 - Current Topics in Human Anatomy
                            "
232,"
                                    ANATE 140 - Anatomie
                            "
233,"
                                    ANATE 200 - Morphologie Humaine
                            "
234,"
                                    ANATE 409 - Histologie Humaine
                            "
235,"
                                    ANDR 520 - Formation expérientielle à la dynamique de groupe
                            "
236,"
                                    ANGL 122 - Texts and Contexts
                            "
237,"
                                    ANGL 123 - Language, Literature and Culture
                            "
238,"
                                    ANGL 124 - English Literature in Global Perspective
                            "
239,"
                                    ANGL 126 - Exploring Writing Studies
                            "
240,"
                                    ANGL 227 - Advanced Expository Writing and Communication
                            "
241,"
                                    ANTHE 101 - Introduction à l'anthropologie
                            "
242,"
                                    ANTHE 207 - Introduction à l'anthropologie sociale et culturelle
                            "
243,"
                                    ANTHE 208 - Introduction à l'anthropologie linguistique
                            "
244,"
                                    ANTHE 220 - Anthropologie sociale du vieillissement
                            "
245,"
                                    ANTHE 320 - Anthropologie de la religion
                            "
246,"
                                    ANTHE 330 - Variation biologique et environnement socioculturel
                            "
247,"
                                    ANTHE 365 - Culture populaire
                            "
248,"
                                    ANTHE 401 - Médecines traditionnelles
                            "
249,"
                                    ANTHE 493 - Anthropologie des enjeux médicaux
                            "
250,"
                                    ANTHR 101 - Introductory Anthropology
                            "
251,"
                                    ANTHR 103 - Introductory Topics in Anthropology
                            "
252,"
                                    ANTHR 110 - Gender, Age, and Culture
                            "
253,"
                                    ANTHR 150 - Race and Racism
                            "
254,"
                                    ANTHR 206 - Introduction to Archaeology
                            "
255,"
                                    ANTHR 207 - Introduction to Social and Cultural Anthropology
                            "
256,"
                                    ANTHR 208 - Introduction to Linguistic Anthropology
                            "
257,"
                                    ANTHR 209 - Introduction to Biological Anthropology
                            "
258,"
                                    ANTHR 219 - World Prehistory
                            "
259,"
                                    ANTHR 230 - Anthropology of Science, Technology, and Environment
                            "
260,"
                                    ANTHR 235 - Anthropology of Disability
                            "
261,"
                                    ANTHR 256 - Alberta Archaeology
                            "
262,"
                                    ANTHR 286 - Topics in Regional Anthropology
                            "
263,"
                                    ANTHR 287 - Topics in Asian Anthropology
                            "
264,"
                                    ANTHR 301 - Introduction to Ethnographic Methods
                            "
265,"
                                    ANTHR 302 - History of Anthropological Theory
                            "
266,"
                                    ANTHR 303 - History of Anthropological Archaeology
                            "
267,"
                                    ANTHR 304 - History of Biological Anthropology
                            "
268,"
                                    ANTHR 310 - The Anthropology of Gender
                            "
269,"
                                    ANTHR 311 - Archaeology of Indigenous North America
                            "
270,"
                                    ANTHR 312 - Lower Palaeolithic Prehistory
                            "
271,"
                                    ANTHR 313 - Middle and Upper Palaeolithic Prehistory
                            "
272,"
                                    ANTHR 318 - Political Anthropology
                            "
273,"
                                    ANTHR 320 - Anthropology of Religion
                            "
274,"
                                    ANTHR 321 - Religions of China in Practice
                            "
275,"
                                    ANTHR 322 - Anthropological Perspectives on Discursive Practices
                            "
276,"
                                    ANTHR 324 - Economic Anthropology
                            "
277,"
                                    ANTHR 325 - Anthropology of Japan
                            "
278,"
                                    ANTHR 332 - Anthropology of Science
                            "
279,"
                                    ANTHR 333 - Anthropology of Time and Space
                            "
280,"
                                    ANTHR 350 - Kinship and Social Structure
                            "
281,"
                                    ANTHR 372 - Anthropology of Food
                            "
282,"
                                    ANTHR 385 - Topics in Social Cultural Anthropology
                            "
283,"
                                    ANTHR 386 - Topics in Biological Anthropology or Archaeology
                            "
284,"
                                    ANTHR 390 - Human Osteology
                            "
285,"
                                    ANTHR 391 - Hominid Evolution
                            "
286,"
                                    ANTHR 393 - Health and Healing
                            "
287,"
                                    ANTHR 396 - Archaeological Field Training
                            "
288,"
                                    ANTHR 397 - Anthropological Field Training
                            "
289,"
                                    ANTHR 404 - Mortuary Archaeology
                            "
290,"
                                    ANTHR 407 - Paleopathology
                            "
291,"
                                    ANTHR 411 - Ethnographic Field Methods
                            "
292,"
                                    ANTHR 417 - Anthropology of Modernity
                            "
293,"
                                    ANTHR 420 - Anthropology and the Twentieth Century
                            "
294,"
                                    ANTHR 423 - Anthropological Approaches to Verbal Performance
                            "
295,"
                                    ANTHR 424 - Visual Anthropology
                            "
296,"
                                    ANTHR 425 - Anthropology of Art
                            "
297,"
                                    ANTHR 443 - Juvenile Osteology
                            "
298,"
                                    ANTHR 464 - Chemical Analysis of Bone
                            "
299,"
                                    ANTHR 468 - Fundamentals of Archaeological Mapping
                            "
300,"
                                    ANTHR 469 - Dental Anthropology
                            "
301,"
                                    ANTHR 471 - Readings in Anthropology
                            "
302,"
                                    ANTHR 472 - Independent Research
                            "
303,"
                                    ANTHR 474 - Northwest Coast Societies from an Anthropological Perspective
                            "
304,"
                                    ANTHR 476 - Palaeodietary Reconstruction
                            "
305,"
                                    ANTHR 477 - Northwest Coast Archaeology
                            "
306,"
                                    ANTHR 480 - Zooarchaeology
                            "
307,"
                                    ANTHR 484 - Topics in Archaeology and/or Biological Anthropology
                            "
308,"
                                    ANTHR 485 - Topics in Social, Cultural and/or Linguistic Anthropology
                            "
309,"
                                    ANTHR 486 - Seminar in Archaeology and/or Biological Anthropology
                            "
310,"
                                    ANTHR 487 - Seminar in Social, Cultural and/or Linguistic Anthropology
                            "
311,"
                                    ANTHR 490 - Human Osteoarchaeology
                            "
312,"
                                    ANTHR 491 - Stone Tools
                            "
313,"
                                    ANTHR 494 - Forensic Anthropology
                            "
314,"
                                    ANTHR 495 - Archaeological Methods
                            "
315,"
                                    ANTHR 499A - Honors Seminar and Research Project
                            "
316,"
                                    ANTHR 499B - Honors Seminar and Research Project
                            "
317,"
                                    ANTHR 500 - MA Thesis Prospectus
                            "
318,"
                                    ANTHR 501 - MA Colloquium
                            "
319,"
                                    ANTHR 507 - Advanced Paleopathology
                            "
320,"
                                    ANTHR 511 - Ethnographic Field Methods
                            "
321,"
                                    ANTHR 517 - Anthropology of Modernity
                            "
322,"
                                    ANTHR 520 - Anthropology and the Twentieth Century
                            "
323,"
                                    ANTHR 521 - Topics in Medical Anthropology
                            "
324,"
                                    ANTHR 524 - Visual Anthropology
                            "
325,"
                                    ANTHR 543 - Advanced Juvenile Osteology
                            "
326,"
                                    ANTHR 564 - Advanced Chemical Analysis of Bone
                            "
327,"
                                    ANTHR 568 - Advanced Fundamentals of Archaeological Mapping
                            "
328,"
                                    ANTHR 569 - Advanced Dental Anthropology
                            "
329,"
                                    ANTHR 571 - Advanced Readings in Anthropology
                            "
330,"
                                    ANTHR 572 - Independent Research
                            "
331,"
                                    ANTHR 573 - Advanced Field Training
                            "
332,"
                                    ANTHR 576 - Advanced Palaeodietary Reconstruction
                            "
333,"
                                    ANTHR 577 - Advanced Northwest Coast Archaeology
                            "
334,"
                                    ANTHR 580 - Advanced Zooarchaeology
                            "
335,"
                                    ANTHR 584 - Advanced Topics in Archaeology and/or Biological Anthropology
                            "
336,"
                                    ANTHR 585 - Advanced Topics in Social, Cultural and/or Linguistic Anthropology
                            "
337,"
                                    ANTHR 586 - Advanced Seminar in Archaeology and/or Biological Anthropology
                            "
338,"
                                    ANTHR 587 - Advanced Seminar in Social, Cultural and/or Linguistic Anthropology
                            "
339,"
                                    ANTHR 589 - Advanced Seminar in Linguistic Anthropology
                            "
340,"
                                    ANTHR 593 - Evolution and Social Life
                            "
341,"
                                    ANTHR 598 - Landscape and Culture
                            "
342,"
                                    ANTHR 600 - PhD Thesis Prospectus
                            "
343,"
                                    ANTHR 601 - PhD Colloquium
                            "
344,"
                                    ARAB 111 - Beginners' Arabic I
                            "
345,"
                                    ARAB 112 - Beginners' Arabic II
                            "
346,"
                                    ARAB 113 - Beginners' Arabic I for Heritage Learners
                            "
347,"
                                    ARAB 114 - Beginners' Arabic II for Heritage Learners
                            "
348,"
                                    ARAB 211 - Intermediate Arabic I
                            "
349,"
                                    ARAB 212 - Intermediate Arabic II
                            "
350,"
                                    ARAB 399 - Special Topics
                            "
351,"
                                    AREC 173 - The Plate, the Planet and Society
                            "
352,"
                                    AREC 200 - Current Economic Issues for Agriculture and Food
                            "
353,"
                                    AREC 214 - Applications of Quantitative Models to Food, Resources and the Environment
                            "
354,"
                                    AREC 250 - Social and Economic Issues of Food Biotechnology
                            "
355,"
                                    AREC 313 - Statistical Analysis
                            "
356,"
                                    AREC 323 - Introduction to Management for Agri-Food, Environmental, and Forestry Businesses
                            "
357,"
                                    AREC 333 - Economics of Production and Resource Management
                            "
358,"
                                    AREC 365 - Natural Resource Economics
                            "
359,"
                                    AREC 375 - World Food and Agriculture
                            "
360,"
                                    AREC 382 - Food Systems, Distribution and Supply Chains
                            "
361,"
                                    AREC 384 - Food Market Analysis
                            "
362,"
                                    AREC 400 - Special Topics
                            "
363,"
                                    AREC 410 - Advanced Methods and Applications in Applied Economics
                            "
364,"
                                    AREC 423 - Advanced Management Methods and Applications for Agri-Food, Fashion and Resource Businesses
                            "
365,"
                                    AREC 430 - Economic Impact Assessment
                            "
366,"
                                    AREC 433 - Financial Management in Resource Industries
                            "
367,"
                                    AREC 460 - Land Use Economics
                            "
368,"
                                    AREC 465 - Advanced Natural Resource Economics
                            "
369,"
                                    AREC 471 - Society and Well-Being
                            "
370,"
                                    AREC 473 - Food and Agricultural Policies
                            "
371,"
                                    AREC 482 - Cooperatives and Alternative Business Institutions
                            "
372,"
                                    AREC 484 - Strategic Management in Food and Resource Businesses
                            "
373,"
                                    AREC 485 - Trade and Globalization in Food and Resources
                            "
374,"
                                    AREC 487 - Managing Market Risk in Resource Industries
                            "
375,"
                                    AREC 488 - Introduction to Agricultural and Resource Game Theory
                            "
376,"
                                    AREC 500 - Special Topics
                            "
377,"
                                    AREC 502 - Advanced Price Analysis
                            "
378,"
                                    AREC 513 - Econometric Applications
                            "
379,"
                                    AREC 514 - Quantitative Techniques
                            "
380,"
                                    AREC 530 - Economic Impact Assessment
                            "
381,"
                                    AREC 533 - Production Economics
                            "
382,"
                                    AREC 543 - Advanced Topics in Production Economics
                            "
383,"
                                    AREC 560 - Land Use Economics
                            "
